Lname,Fname,Degree,Department
,,,
Enright ,  Reed ,"  AB, MA ",  English 
Thyme ,  Justin ,"  BA, MA ",    Physics      
Hebbra ,  Al G. ,"  MA, PhD ",  Mathematics 
Dwyer ,  Barb ,"  BS, MS ",  Agriculture        
Pointer ,  NULL ,   BIT ,  Computer Science  
Tsofrenic ,  S `Kit' ,"  BA, PhD ",  Psychology 
Banks ,  River ,  BS ,  Ecology 
Minor ,  Bea ,  BM ,  Music 
Botes ,  Roe ,"  BS, MS ",  Mechanical Engineering 
Kase ,  St??r ,"  BA, MA ",  Architecture
Burns ,  Willett ,  GED ,  Forestry 
Uyi ,  Guy ,"  BS, MS ",  Software Engineering 
Claire ,  Heidi ,  BFA ,  Drama 
Paciter ,  Kay ,"  BS, MS, PhD ",  Electrical Engineering 
Tsofrenic ,  S `Kit' ,"  BA, MD ",  Neuroscience 
Major ,  Arthur ,  BFA ,  Art History 
Case ,  Justin ,"  BA, JD ",  NULL
Wyle ,  Drew ,"  BS, MS, PhD ",  Computer Science  
Oakey ,  Carrie ,"  BM, MM ",  Music 
Furr ,  Douglas  ,  BSF ,  Forestry 
Power ,  Max ,"  BS, MS ",  Electrical Engineering 
Banks ,  Robyn ,"  BS, MS, PhD ",  Criminology 
Vine ,   Beau ,  BS ,  Agriculture 
Domacese ,  Rand ,"  BS, MSE ",  Computer Engineering 
Bridges ,  Ricky T. ,  NULL  ,  Civil Engineering 
